stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
10653,Seattle,W,SEA,YES,62,0,578.0824355367855,9.634707258946426,NOAA AcRd & Unnamed
12470,Seattle,N,SEA,YES,11,1,398.29392834260915,6.6382321390434855,43rd Ave E & E Madison St
30160,Seattle,W,SEA,YES,106 107 9E,1,377.50214482247304,6.291702413707884,S Henderson St & Renton Ave S
18930,Seattle,N,SEA,YES,17E,0,373.769906600967,6.22949844334945,32nd Ave NW & Loyal Way NW
29865,Seattle,E,SEA,YES,44,1,343.60754160369544,5.726792360061591,NE 45th St & Roosevelt Way NE
41981,Seattle,S,SEA,YES,193E,0,330.2024863247962,5.503374772079937,9th Ave & Spring St
29254,Seattle,S,SEA,YES,43 48 988EN,1,330.0964285714286,5.501607142857143,23rd Ave E & E Aloha St
22260,Seattle,W,SEA,YES,21 22 C,1,324.1576445150772,5.40262740858462,SW Roxbury St & 28th Ave SW
31680,Seattle,W,SEA,YES,132 60 987E,1,322.59166666666664,5.376527777777778,S Cloverdale St & 12th Ave S
3250,Seattle,E,SEA,YES,2 988E,0,312.51260162601625,5.208543360433604,E Union St & 32nd Ave
720,Seattle,N,SEA,YES,212 554EN,0,305.5069002619683,5.091781671032805,4th Ave & Stewart St
8641,Seattle,S,SEA,YES,106 48 634N 7 9E,1,300.9969107692143,5.016615179486905,Rainier Ave S & S Walker St
29240,Seattle,E,SEA,YES,255 271 43 44 48 542E 556E 65,0,293.6875306477594,4.894792177462657,NE Pacific St & 15th Ave NE
85066,Seattle,S,SEA,YES,113,0,287.5072209991561,4.791787016652602,East Marginal Way S & S Hudson St
19550,Seattle,N,SEA,YES,40,0,286.6652998236332,4.777754997060553,24th Ave NW & NW 65th St
55875,Seattle,W,SEA,YES,987E,0,284.1686507936508,4.73614417989418,S Dearborn St & Corwin Pl S
21850,Seattle,S,SEA,YES,545E,0,284.1492915438016,4.735821525730027,Airport Way S & S Royal Brougham Way
15395,Seattle,S,SEA,YES,21 50,1,283.97003308435626,4.732833884739271,1st Ave S & S Hanford St
29405,Seattle,W,SEA,YES,271 43 44 48,4,277.03919317393945,4.617319886232324,NE Pacific St & Montlake Blvd NE
15201,Unknown,S,SEA,UNK,21,0,276.1368332477425,4.602280554129042,1st Ave S & S Atlantic St
37360,Seattle,E,SEA,YES,62,1,268.1102641810241,4.468504403017068,NE 65th St & 16th Ave NE
13870,Seattle,S,SEA,YES,24 32 33 D,1,266.49168854088333,4.441528142348056,Elliott Ave W & W Galer St
56161,Seattle,S,SEA,YES,106,1,265.03105852494616,4.4171843087491025,Martin L King Jr Way S & S Othello St
40077,Seattle,S,SEA,YES,31 33,0,263.3242001155161,4.3887366685919345,Gilman Ave W & 23rd Ave W
15460,Seattle,W,SEA,YES,21,0,260.22472117117826,4.337078686186304,SW Spokane St & 26th Ave SW
30690,Seattle,S,SEA,YES,131 132,1,257.4042604660422,4.29007100776737,4th Ave S & S Holgate St
18630,Seattle,W,SEA,YES,31 32,1,256.91588465745974,4.281931410957663,W Nickerson St & 3rd Ave W
45870,Seattle,S,SEA,YES,131 132,1,255.68217073873672,4.261369512312279,4th Ave S & S Spokane St
6640,Seattle,N,SEA,YES,5 61,0,254.5469948140094,4.242449913566824,Greenwood Ave N & N 85th St
26965,Seattle,E,SEA,YES,31 32,1,254.52546102186426,4.242091017031071,N 40th St & Wallingford Ave N
31350,Seattle,N,SEA,YES,31 33,0,252.14801167238878,4.20246686120648,Thorndyke Ave W & W Blaine St
34930,Seattle,E,SEA,YES,50 987EN,0,251.71547619047618,4.195257936507937,S Genesee St & Cascadia Ave S
56031,Seattle,S,SEA,YES,106,1,251.7137366197845,4.195228943663075,Martin L King Jr Way S & S Alaska St
11060,Seattle,S,SEA,YES,43 49 60 636N 9E,0,249.09141227847414,4.151523537974569,Broadway & E Denny Way
6440,Seattle,N,SEA,YES,5,1,248.559362085873,4.14265603476455,Phinney Ave N & N 46th St
11150,Seattle,E,SEA,YES,10 12 49,0,248.29382236002505,4.138230372667084,E Pine St & Harvard Ave
2295,Seattle,W,SEA,YES,8,0,248.0419671819134,4.134032786365223,Denny Way & Dexter Ave N
29247,Seattle,E,SEA,YES,271 43 48 542E 556E,4,246.5890985186851,4.109818308644751,NE Pacific St & Montlake Blvd NE
10915,Seattle,N,SEA,YES,49,0,243.633329466697,4.060555491111617,Harvard Ave E & Eastlake Ave E
12210,Seattle,W,SEA,YES,11,0,241.5324088468793,4.025540147447988,E McGilvra St & 42nd Ave E
28470,Seattle,N,SEA,YES,28E,1,240.5426789921296,4.009044649868827,8th Ave NW & NW Market St
6237,Unknown,N,SEA,UNK,28E 5 E,2,240.29131430226272,4.004855238371046,7th Ave N & Harrison St
49733,Seattle,N,SEA,YES,132,0,239.88883195722025,3.998147199287004,8th Ave S & S Kenyon St
12487,Seattle,S,SEA,YES,4 8,0,239.5581268980466,3.9926354483007764,Martin L King Jr Way S & S Massachusetts St
17950,Seattle,N,SEA,YES,17E,0,239.44093719530358,3.990682286588393,View Ave NW & Loyal Ave NW
29280,Seattle,N,SEA,YES,43 48 988EN,1,239.35691056910568,3.989281842818428,23rd Ave E & E Aloha St
19440,Seattle,W,SEA,YES,17E 24 33,2,238.57114783681558,3.9761857972802597,Denny Way & Queen Anne Ave N
18390,Seattle,S,SEA,YES,62,0,238.1270337445288,3.968783895742147,Dexter Ave N & Harrison St
2250,Seattle,E,SEA,YES,8,1,234.67849674254282,3.9113082790423803,Denny Way & Dexter Ave
12010,Seattle,E,SEA,YES,14 8,0,234.62153638026749,3.910358939671125,S Jackson St & 23rd Ave S
45960,Seattle,S,SEA,YES,131 132,0,233.63864388201196,3.893977398033533,4th Ave S & S Front St
37460,Seattle,E,SEA,YES,62,0,233.18756047995913,3.8864593413326523,NE 65th St & 35th Ave NE
99271,Metro King County,S,SEA,YES,101 102 150 177 D E,1,231.0640137887906,3.851066896479843,SODO Busway AcRd & S Royal Brougham Way
6340,Seattle,N,SEA,YES,28E 5,1,230.50666451040036,3.841777741840006,Aurora Ramp & N 38th St
41955,Seattle,N,SEA,YES,193E 303 322,0,229.49408455563733,3.824901409260622,9th Ave & Spring St
29270,Seattle,E,SEA,YES,11 43 636 8,1,229.17132970775774,3.819522161795962,E John St & Broadway E
29540,Seattle,W,SEA,YES,44,0,228.72560069893197,3.8120933449821996,N 45th St & Stone Way N
42080,Seattle,S,SEA,YES,107 60,1,226.30023770856448,3.7716706284760746,15th Ave S & S Oregon St
21833,Seattle,S,SEA,YES,124,1,225.6170280685354,3.760283801142257,6th Ave S & S Royal Brougham Way
7350,Seattle,S,SEA,YES,62,0,225.23749738819865,3.7539582898033106,Stone Way N & N 45th St
29245,Seattle,S,SEA,YES,43 48,0,221.70191591676252,3.695031931946042,East Montlake Pl E & E Roanoke St
41989,Seattle,S,SEA,YES,43 9E,0,221.17127333792143,3.686187888965357,Boren Ave & E Yesler Way
22830,Seattle,S,SEA,YES,21 21E 50 773N C,1,220.41443997186278,3.673573999531046,35th Ave SW & SW Avalon Way
27570,Seattle,E,SEA,YES,27 8,1,217.3777277401248,3.6229621290020804,E Yesler Way & 23rd Ave S
31460,Seattle,N,SEA,YES,31 33,0,217.09941184241623,3.6183235307069372,22nd Ave W & Gilman Ave W
20890,Seattle,N,SEA,YES,24 31,0,216.27131529954278,3.6045219216590465,28th Ave W & W Blaine St
7430,Seattle,W,SEA,YES,131 132 21 28E 5 E,2,215.1339392605069,3.585565654341782,Wall St & 5th Ave
99267,Seattle,N,SEA,YES,101 102 150 177 E,1,212.9268297285943,3.5487804954765716,SODO Busway AcRd & S Royal Brougham Way
26510,Seattle,S,SEA,YES,31 32 40 62,0,212.77838381513507,3.5463063969189177,Fremont Ave N & N 34th St
24680,Seattle,W,SEA,YES,24 33,0,212.22359667626208,3.537059944604368,W Government Way & 33rd Ave W
11200,Seattle,N,SEA,YES,49 9E,1,211.62001887987853,3.527000314664642,Broadway E & E Mercer St
29600,Seattle,W,SEA,YES,44,1,211.26314584123975,3.521052430687329,N 46th St & Phinney Ave N
