stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
68463,Redmond,N,RED,YES,245,0,814.7583333333333,13.579305555555555,156th Ave NE & NE 45th St
85254,Unknown,N,MTL,UNK,331 333,0,741.4593853007088,12.357656421678481,Mntlake Terrace P&R AcRd & 236th St SW
53508,State Dept. of Transportation,E,KNT,YES,162 165,0,633.1647422889611,10.552745704816017,Kent Des Moines Rd & I-5 Ramp
10653,Seattle,W,SEA,YES,62,0,578.0824355367855,9.634707258946426,NOAA AcRd & Unnamed
53504,State Dept. of Transportation,S,KNT,YES,193E,1,533.7973101216073,8.896621835360122,I-5 Ramp & Kent Des Moines Rd
47970,State Dept. of Transportation,S,KNT,YES,193E,0,477.8105049208388,7.963508415347314,I-5 Ramp & S 272nd St
54760,Renton,E,RNT,YES,111,0,449.98220687626906,7.499703447937818,NE 30th St & I-405 Ramp
54003,King County,S,KC,YES,111,0,443.6932930677832,7.394888217796387,Lake Kathleen Rd SE & SE 128th St
83752,Metro King County,W,FDY,YES,177 193E,2,432.5754873062698,7.209591455104497,FedWay/S 320th St P&R AcRd & 25th Ave S
54841,Renton,E,RNT,YES,111,0,418.50153123718445,6.975025520619741,NE 16th St & Edmonds Ave NE
46730,Renton,S,RNT,YES,111,0,405.92223310570904,6.7653705517618175,Monroe Ave NE & NE 4th St
12470,Seattle,N,SEA,YES,11,1,398.29392834260915,6.6382321390434855,43rd Ave E & E Madison St
54060,King County,S,KC,YES,111,0,392.8926987460543,6.548211645767571,169th Ave SE & SE 144th St
30160,Seattle,W,SEA,YES,106 107 9E,1,377.50214482247304,6.291702413707884,S Henderson St & Renton Ave S
18930,Seattle,N,SEA,YES,17E,0,373.769906600967,6.22949844334945,32nd Ave NW & Loyal Way NW
64397,Snoqualmie,S,SNQ,YES,208 629,0,358.75485123057024,5.979247520509504,Railroad Ave SE & SE Northern St
80432,Federal Way,W,FDY,NO,177 193E,0,353.1107103371882,5.885178505619804,Federal Way TC AcRd & 23rd Ave S
62299,State Dept. of Transportation,E,COV,YES,168,0,349.11005706984224,5.8185009511640375,SE 272nd St & 169th Pl SE
29865,Seattle,E,SEA,YES,44,1,343.60754160369544,5.726792360061591,NE 45th St & Roosevelt Way NE
85781,North Bend,E,NOB,YES,208,0,342.1934530978321,5.703224218297202,NW 14th St & Boalch Ave NW
68005,Bellevue,E,BEL,NO,271 556E,1,340.2892564261484,5.671487607102474,Bellevue TC AcRd & 110th Ave NE
47235,King County,S,KC,YES,118,0,338.2029657477026,5.636716095795043,104th Ave SW & SW Burton Dr
41981,Seattle,S,SEA,YES,193E,0,330.2024863247962,5.503374772079937,9th Ave & Spring St
29254,Seattle,S,SEA,YES,43 48 988EN,1,330.0964285714286,5.501607142857143,23rd Ave E & E Aloha St
65015,WSD,N,BEL,YES,271,0,327.01434032114213,5.450239005352369,Lakemont Blvd SE & SE Newport Way
22260,Seattle,W,SEA,YES,21 22 C,1,324.1576445150772,5.40262740858462,SW Roxbury St & 28th Ave SW
64308,Unknown,S,NOB,UNK,208 629,0,323.51489054103797,5.391914842350633,Factory Outlet Mall AcRd & Mount Si Blvd
31680,Seattle,W,SEA,YES,132 60 987E,1,322.59166666666664,5.376527777777778,S Cloverdale St & 12th Ave S
72580,Redmond,N,RED,YES,250,0,316.3634135338346,5.272723558897243,Avondale Rd NE & NE 116th St
55928,Renton,N,RNT,YES,153 F,0,314.59175254926896,5.243195875821149,Lind Ave SW & SW 7th St
3250,Seattle,E,SEA,YES,2 988E,0,312.51260162601625,5.208543360433604,E Union St & 32nd Ave
720,Seattle,N,SEA,YES,212 554EN,0,305.5069002619683,5.091781671032805,4th Ave & Stewart St
64960,Bellevue,E,BEL,YES,271,0,303.4379754053517,5.057299590089196,SE Newport Way & 151st Ave SE
8641,Seattle,S,SEA,YES,106 48 634N 7 9E,1,300.9969107692143,5.016615179486905,Rainier Ave S & S Walker St
54135,King County,N,RNT,YES,111,0,295.2084411157203,4.920140685262004,Jericho Ave NE & NE 3rd Pl
84280,State Dept. of Transportation,S,BEL,YES,111,1,295.04794645073935,4.917465774178989,I-405 Ramp & Lake Washington Blvd SE
60453,Metro King County,N,KNT,YES,162 165,1,294.5302531750368,4.90883755291728,Lake Meridian P&R AcRd & 132nd Ave SE
29240,Seattle,E,SEA,YES,255 271 43 44 48 542E 556E 65,0,293.6875306477594,4.894792177462657,NE Pacific St & 15th Ave NE
60373,Renton,N,RNT,YES,153,0,288.8848645890738,4.81474774315123,Lind Ave SW & SW 43rd St
85066,Seattle,S,SEA,YES,113,0,287.5072209991561,4.791787016652602,East Marginal Way S & S Hudson St
19550,Seattle,N,SEA,YES,40,0,286.6652998236332,4.777754997060553,24th Ave NW & NW 65th St
55875,Seattle,W,SEA,YES,987E,0,284.1686507936508,4.73614417989418,S Dearborn St & Corwin Pl S
21850,Seattle,S,SEA,YES,545E,0,284.1492915438016,4.735821525730027,Airport Way S & S Royal Brougham Way
15395,Seattle,S,SEA,YES,21 50,1,283.97003308435626,4.732833884739271,1st Ave S & S Hanford St
29405,Seattle,W,SEA,YES,271 43 44 48,4,277.03919317393945,4.617319886232324,NE Pacific St & Montlake Blvd NE
62301,Covington,N,COV,YES,168,0,276.97574517806237,4.6162624196343724,SE Wax Rd & 176th Pl SE
15201,Unknown,S,SEA,UNK,21,0,276.1368332477425,4.602280554129042,1st Ave S & S Atlantic St
71345,Unknown,S,RED,NO,225 249 566E,0,274.20988455880996,4.570164742646833,Redmond Tech Station AcRd & 156th Ave NE
84354,Kent,N,KNT,YES,153,0,271.0376998054906,4.517294996758177,84th Ave S & S 212th St
64413,Snoqualmie,W,SNQ,YES,208,1,270.95802186231134,4.515967031038523,SE Ridge St & Center Blvd SE
59904,Renton,S,RNT,YES,153,0,270.2733485849568,4.50455580974928,Shattuck Ave S & S Grady Way
64512,Issaquah,E,ISS,YES,208,0,268.9060208175551,4.481767013625918,SE Bush St & Rainier Blvd S
37360,Seattle,E,SEA,YES,62,1,268.1102641810241,4.468504403017068,NE 65th St & 16th Ave NE
76036,Unknown,E,BOT,UNK,230,0,267.30172164822784,4.45502869413713,240th St SE & 35th Ave SE
71410,Redmond,E,RED,YES,249 895EN,0,266.73901515151516,4.445650252525253,NE 24th St & 173rd Ave NE
13870,Seattle,S,SEA,YES,24 32 33 D,1,266.49168854088333,4.441528142348056,Elliott Ave W & W Galer St
57776,Sound Transit,S,AUB,NO,566E 917,0,265.3299012409575,4.422165020682625,Auburn Sounder Station AcRd & 2nd St SW
56161,Seattle,S,SEA,YES,106,1,265.03105852494616,4.4171843087491025,Martin L King Jr Way S & S Othello St
40077,Seattle,S,SEA,YES,31 33,0,263.3242001155161,4.3887366685919345,Gilman Ave W & 23rd Ave W
65049,Issaquah,E,ISS,YES,271,0,262.6886786937048,4.378144644895079,NW Sammamish Rd & 15th Pl NW
62328,Covington,S,COV,YES,168,0,260.59514667397934,4.343252444566322,192nd Ave SE & SE 267th St
15460,Seattle,W,SEA,YES,21,0,260.22472117117826,4.337078686186304,SW Spokane St & 26th Ave SW
56450,King County,S,KC,YES,106,1,258.42687939686505,4.307114656614417,Renton Ave S & S 126th St
47872,King County,W,KC,YES,131,1,257.91263668580274,4.298543944763379,SW 112th St & 1st Ave SW
30690,Seattle,S,SEA,YES,131 132,1,257.4042604660422,4.29007100776737,4th Ave S & S Holgate St
18630,Seattle,W,SEA,YES,31 32,1,256.91588465745974,4.281931410957663,W Nickerson St & 3rd Ave W
64579,Issaquah,N,ISS,NO,271,0,256.65325577268936,4.277554262878156,Issaquah TC AcRd & NW Maple St
45870,Seattle,S,SEA,YES,131 132,1,255.68217073873672,4.261369512312279,4th Ave S & S Spokane St
49588,King County,N,KC,YES,128 131,1,254.88050439487992,4.248008406581332,8th Ave SW & SW 99th St
6640,Seattle,N,SEA,YES,5 61,0,254.5469948140094,4.242449913566824,Greenwood Ave N & N 85th St
26965,Seattle,E,SEA,YES,31 32,1,254.52546102186426,4.242091017031071,N 40th St & Wallingford Ave N
60480,Kent,E,KNT,YES,168,1,253.74394562312054,4.2290657603853425,SE Kent-Kangley Rd & 132nd Ave SE
80668,Renton,N,RNT,YES,153,0,253.06844903607734,4.217807483934623,Lind Ave SW & SW 16th St
31350,Seattle,N,SEA,YES,31 33,0,252.14801167238878,4.20246686120648,Thorndyke Ave W & W Blaine St
34930,Seattle,E,SEA,YES,50 987EN,0,251.71547619047618,4.195257936507937,S Genesee St & Cascadia Ave S
56031,Seattle,S,SEA,YES,106,1,251.7137366197845,4.195228943663075,Martin L King Jr Way S & S Alaska St
81434,King County,W,BOT,YES,239 257,0,251.7021223507552,4.195035372512587,NE 160th St & Juanita Woodinville Way NE
69028,Bellevue,W,BEL,YES,226 250,1,249.74930350020287,4.162488391670048,NE 10th St & 116th Ave NE
11060,Seattle,S,SEA,YES,43 49 60 636N 9E,0,249.09141227847414,4.151523537974569,Broadway & E Denny Way
6440,Seattle,N,SEA,YES,5,1,248.559362085873,4.14265603476455,Phinney Ave N & N 46th St
11150,Seattle,E,SEA,YES,10 12 49,0,248.29382236002505,4.138230372667084,E Pine St & Harvard Ave
2295,Seattle,W,SEA,YES,8,0,248.0419671819134,4.134032786365223,Denny Way & Dexter Ave N
29247,Seattle,E,SEA,YES,271 43 48 542E 556E,4,246.5890985186851,4.109818308644751,NE Pacific St & Montlake Blvd NE
81440,King County,S,BOT,YES,257,0,245.4109988394818,4.090183313991363,119th Ave NE & NE 159th St
85796,North Bend,S,NOB,YES,208,1,243.93530190645586,4.0655883651075975,Main Ave S & W Park St
10915,Seattle,N,SEA,YES,49,0,243.633329466697,4.060555491111617,Harvard Ave E & Eastlake Ave E
71359,State Dept. of Transportation,E,YP,YES,255 257 311 542E 545E 556E 982EN 986EN,0,243.42675706399362,4.057112617733227,SR 520 Ramp & 92nd Ave NE
60010,Renton,S,RNT,YES,102 148,0,241.66168144264188,4.027694690710698,116th Ave SE & SE 16th St
12210,Seattle,W,SEA,YES,11,0,241.5324088468793,4.025540147447988,E McGilvra St & 42nd Ave E
28470,Seattle,N,SEA,YES,28E,1,240.5426789921296,4.009044649868827,8th Ave NW & NW Market St
6237,Unknown,N,SEA,UNK,28E 5 E,2,240.29131430226272,4.004855238371046,7th Ave N & Harrison St
49733,Seattle,N,SEA,YES,132,0,239.88883195722025,3.998147199287004,8th Ave S & S Kenyon St
12487,Seattle,S,SEA,YES,4 8,0,239.5581268980466,3.9926354483007764,Martin L King Jr Way S & S Massachusetts St
17950,Seattle,N,SEA,YES,17E,0,239.44093719530358,3.990682286588393,View Ave NW & Loyal Ave NW
29280,Seattle,N,SEA,YES,43 48 988EN,1,239.35691056910568,3.989281842818428,23rd Ave E & E Aloha St
19440,Seattle,W,SEA,YES,17E 24 33,2,238.57114783681558,3.9761857972802597,Denny Way & Queen Anne Ave N
18390,Seattle,S,SEA,YES,62,0,238.1270337445288,3.968783895742147,Dexter Ave N & Harrison St
84014,Redmond,E,RED,YES,224 250,1,236.71175171659118,3.945195861943186,Avondale Way NE & 170th Pl NE
71348,Medina,E,MED,YES,255 257 311 542E 545E 556E 982EN 986EN,0,236.07776582847535,3.934629430474589,SR 520 Ramp & Evergreen Point Rd
49440,SeaTac,E,STC,YES,132,0,235.33179428199887,3.922196571366648,S 128th St & Roseberg Ave S
2250,Seattle,E,SEA,YES,8,1,234.67849674254282,3.9113082790423803,Denny Way & Dexter Ave
12010,Seattle,E,SEA,YES,14 8,0,234.62153638026749,3.910358939671125,S Jackson St & 23rd Ave S
45960,Seattle,S,SEA,YES,131 132,0,233.63864388201196,3.893977398033533,4th Ave S & S Front St
80762,Renton,S,RNT,YES,153,0,233.63120762376275,3.8938534603960457,Lind Ave SW & SW 16th St
37460,Seattle,E,SEA,YES,62,0,233.18756047995913,3.8864593413326523,NE 65th St & 35th Ave NE
6940,King County,W,SHL,YES,333 5,0,233.01630703294708,3.883605117215785,N Innis Arden Way & Greenwood Ave N
40097,Renton,N,RNT,YES,240,2,232.28374902329688,3.871395817054948,Duvall Ave NE & NE Sunset Blvd
99271,Metro King County,S,SEA,YES,101 102 150 177 D E,1,231.0640137887906,3.851066896479843,SODO Busway AcRd & S Royal Brougham Way
6340,Seattle,N,SEA,YES,28E 5,1,230.50666451040036,3.841777741840006,Aurora Ramp & N 38th St
41955,Seattle,N,SEA,YES,193E 303 322,0,229.49408455563733,3.824901409260622,9th Ave & Spring St
29270,Seattle,E,SEA,YES,11 43 636 8,1,229.17132970775774,3.819522161795962,E John St & Broadway E
29540,Seattle,W,SEA,YES,44,0,228.72560069893197,3.8120933449821996,N 45th St & Stone Way N
42080,Seattle,S,SEA,YES,107 60,1,226.30023770856448,3.7716706284760746,15th Ave S & S Oregon St
21833,Seattle,S,SEA,YES,124,1,225.6170280685354,3.760283801142257,6th Ave S & S Royal Brougham Way
7350,Seattle,S,SEA,YES,62,0,225.23749738819865,3.7539582898033106,Stone Way N & N 45th St
85924,King County,S,KC,YES,183,0,225.0282653088166,3.7504710884802765,31st Ave S & Military Rd S
85902,King County,E,KC,YES,183,0,224.33804759787546,3.738967459964591,S 288th St & 45th Pl S
75670,King County,W,SHL,YES,348,0,222.884750333141,3.7147458388856833,NW 196th St & Richmond Beach Dr NW
82854,State Dept. of Transportation,N,BOT,YES,311,1,222.88377976190475,3.7147296626984123,I-405 NB Ent Ramp & NE 160th St
65092,Issaquah,N,ISS,YES,271,0,222.56174715596154,3.709362452599359,Newport Way SW & W Sunset Way
64333,Snoqualmie,N,SNQ,YES,208 629,0,221.86512144266365,3.697752024044394,Railroad Ave SE & SE Northern St
67150,Bellevue,W,BEL,YES,221,0,221.7610932037171,3.696018220061952,SE 14th St & 165th Ave SE
29245,Seattle,S,SEA,YES,43 48,0,221.70191591676252,3.695031931946042,East Montlake Pl E & E Roanoke St
41989,Seattle,S,SEA,YES,43 9E,0,221.17127333792143,3.686187888965357,Boren Ave & E Yesler Way
22830,Seattle,S,SEA,YES,21 21E 50 773N C,1,220.41443997186278,3.673573999531046,35th Ave SW & SW Avalon Way
59358,Renton,E,RNT,YES,153 906,0,219.72827731295672,3.6621379552159454,SW 43rd St & Lind Ave SW
77890,King County,N,SHL,YES,333 348,0,219.62788552025515,3.660464758670919,15th Ave NE & NE 175th St
68597,Bellevue,S,BEL,YES,245 271,1,219.0965277734109,3.651608796223515,140th Ave SE & Lake Hills Blvd
80509,Kirkland,S,KIR,YES,225,1,218.86960101419976,3.647826683569996,132nd Ave NE & NE 117th St
27570,Seattle,E,SEA,YES,27 8,1,217.3777277401248,3.6229621290020804,E Yesler Way & 23rd Ave S
31460,Seattle,N,SEA,YES,31 33,0,217.09941184241623,3.6183235307069372,22nd Ave W & Gilman Ave W
64448,Issaquah,W,ISS,YES,208,0,217.03728826636197,3.6172881377726993,SE Bush St & Rainier Blvd S
75307,King County,N,SHL,YES,365 65,0,216.8296125914816,3.6138268765246933,5th Ave NE & NE 145th St
20890,Seattle,N,SEA,YES,24 31,0,216.27131529954278,3.6045219216590465,28th Ave W & W Blaine St
75820,State Dept. of Transportation,N,SHL,YES,E,1,215.33122176514811,3.5888536960858017,Aurora Ave N & N 145th St
57806,Auburn,E,AUB,YES,181 917,1,215.17526902964295,3.5862544838273824,15th St SW & Market St
7430,Seattle,W,SEA,YES,131 132 21 28E 5 E,2,215.1339392605069,3.585565654341782,Wall St & 5th Ave
68370,Bellevue,E,BEL,YES,226 249,0,214.41388754597196,3.573564792432866,NE 24th St & 156th Ave NE
99267,Seattle,N,SEA,YES,101 102 150 177 E,1,212.9268297285943,3.5487804954765716,SODO Busway AcRd & S Royal Brougham Way
26510,Seattle,S,SEA,YES,31 32 40 62,0,212.77838381513507,3.5463063969189177,Fremont Ave N & N 34th St
75909,King County,W,SHL,YES,348,1,212.5436276032391,3.542393793387318,N 185th St & Aurora Ave N
85782,North Bend,W,NOB,YES,208,0,212.30916400367516,3.5384860667279194,NW 14th St & Boalch Ave NW
24680,Seattle,W,SEA,YES,24 33,0,212.22359667626208,3.537059944604368,W Government Way & 33rd Ave W
11200,Seattle,N,SEA,YES,49 9E,1,211.62001887987853,3.527000314664642,Broadway E & E Mercer St
29600,Seattle,W,SEA,YES,44,1,211.26314584123975,3.521052430687329,N 46th St & Phinney Ave N
45780,Seattle,N,SEA,YES,131 132,1,211.2190379727473,3.520317299545788,4th Ave S & S Front St
22940,Seattle,S,SEA,YES,21 21E,1,211.06950083524833,3.5178250139208056,35th Ave SW & SW Morgan St
1370,Seattle,W,SEA,YES,27N 33,0,209.80657136692682,3.4967761894487803,Yesler Way & 3rd Ave
40802,Seattle,N,SEA,YES,113,0,209.7432212977585,3.495720354962642,East Marginal Way S & S Hudson St
72311,Kirkland,W,KIR,YES,245,0,209.42079952631738,3.4903466587719563,NE 70th Pl & 116th Ave NE
36931,Unknown,W,SEA,UNK,45 62 79,1,209.32695267255517,3.488782544542586,NE 65th St & 14th Ave NE
16390,Seattle,S,SEA,YES,45 62,0,209.18915033784407,3.4864858389640676,NE Ravenna Blvd & Woodlawn Ave NE
13760,Seattle,S,SEA,YES,17E D,2,208.41799052954516,3.4736331754924192,15th Ave NW & NW Leary Way
35570,Seattle,E,SEA,YES,40 45,0,208.37544836579923,3.472924139429987,NW 85th St & 22nd Ave NW
12600,Seattle,S,SEA,YES,4 48,0,208.19998692075922,3.469999782012654,23rd Ave & E Jefferson St
49490,King County,N,BUR,YES,128 132,0,207.937399997694,3.4656233332949,Military Rd S & S 128th St
31135,Seattle,E,SEA,YES,987E,0,207.5797619047619,3.4596626984126986,S Henderson St & Rainier Ave S
64583,Issaquah,W,ISS,YES,271,0,207.43783299889205,3.4572972166482008,NW Sammamish Rd & 15th Pl NW
25752,Seattle,N,SEA,YES,255 271 542E 556E 986EN,0,207.3825703076318,3.4563761717938633,Montlake Blvd E & E Shelby St
39340,Seattle,N,SHL,YES,348,1,207.32135760842186,3.4553559601403645,15th Ave NE & NE 145th St
26400,Seattle,W,SEA,YES,31 32,0,207.0255801440701,3.4504263357345013,N 40th St & Wallingford Ave N
51520,Burien,N,BUR,YES,H,1,206.9569716346752,3.4492828605779198,Ambaum Blvd SW & SW 128th St
49724,Seattle,S,SEA,YES,132,0,206.0887564872441,3.434812608120735,8th Ave S & S Monroe St
14360,Seattle,N,SEA,YES,40 D,1,205.98151237240123,3.433025206206687,15th Ave NW & NW 85th St
70170,Kirkland,S,KIR,YES,230 231 255,1,205.93667623240808,3.432277937206801,98th Ave NE & NE Juanita Dr
18465,Seattle,N,SEA,YES,62,1,205.90487673318682,3.4317479455531137,Dexter Ave N & Roy St
22160,Seattle,E,SEA,YES,128,0,205.88458473529624,3.4314097455882706,SW Orchard St & Delridge Way SW
45692,Seattle,W,SEA,YES,107,0,205.52269413611435,3.425378235601906,S Myrtle St & Beacon Ave S
84352,Kent,S,KNT,YES,153 161,0,205.45182813429193,3.424197135571532,84th Ave S & S 212th St
65335,Bellevue,E,BEL,YES,271,0,205.19250501159075,3.4198750835265126,SE Eastgate Way & SE Eastgate Way
57892,Metro King County,E,AUB,YES,566E,1,204.1774209708526,3.402957016180877,Auburn P&R AcRd & A St NE
